Oliver;Hellerup;12345678;oliver@gmail.com;2001-01-02;false;false
Thomas;Koebenhavn;22222222;thomas@gmail.com;2000-01-27;true;true
Ejner;Hellerup;80571812;Ejner@gmail.com;2000-02-20;false;false
Dennis;Hellerup;12345679;dennis@gmail.com;2002-03-04;true;false
August;Koebenhavn;98765432;august@gmail.com;2003-05-06;false;true
Jens;Lyngby;87654321;jens@gmail.com;2004-07-08;true;false
Silas;Gentofte;76543210;silas@gmail.com;2005-09-10;false;false
Soeren;Frederiksberg;65432109;soeren@gmail.com;1986-11-12;true;false
Kasper;Noerrebro;54321098;kasper@gmail.com;2004-01-14;false;true
Lasse;Hvidovre;43210987;lasse@gmail.com;1998-03-16;true;false
Jeppe;Amager;32109876;jeppe@gmail.com;1988-05-18;false;false
William;Ballerup;21098765;william@gmail.com;2009-07-20;true;true
Joakim;Valby;10987654;joakim@gmail.com;1977-09-22;false;false
Mikkel;Glostrup;09876543;mikkel@gmail.com;1982-11-24;true;true
Mark;Albertslund;98765432;mark@gmail.com;2006-01-26;false;true
Simon;Roedovre;87654321;simon@gmail.com;2001-03-28;true;true
Tobias;Holbaek;76543210;tobias@gmail.com;1975-05-30;false;false
Thor;Koege;65432109;thor@gmail.com;1999-07-01;true;false
Sebastian;Roskilde;54321098;sebastian@gmail.com;2003-09-03;false;false
Anton;Slagelse;43210987;anton@gmail.com;2003-11-05;true;true
Markus;Odense;32109876;markus@gmail.com;1998-01-07;false;true
Chris;Esbjerg;21098765;chris@gmail.com;1992-03-09;true;false
Frederik;Aalborg;10987654;frederik@gmail.com;2009-05-11;false;false
Bo;Hjoerring;09876543;bo@gmail.com;2001-07-13;true;false
